FATAL  | wrapper  | 2016/09/22 09:18:32 | Unable to open configuration file: /home/hybrisUser/hyb6.1/hybris/bin/platform/tomcat/conf/wrapper-debug.conf (No such file or directory)
FATAL  | wrapper  | 2016/09/22 09:18:32 |   Current working directory: /home/hybrisUser/hyb6.1/hybris/bin/platform/tomcat/bin
FATAL  | wrapper  | 2016/09/23 06:53:39 | Unable to open configuration file: //tomcat/conf/wrapper.conf (No such file or directory)
FATAL  | wrapper  | 2016/09/23 06:53:39 |   Current working directory: /home/hybrisUser/hyb6.1/hybris/bin/platform/tomcat/bin
FATAL  | wrapper  | 2016/09/23 07:01:37 | Unable to open configuration file: //tomcat/conf/wrapper.conf (No such file or directory)
FATAL  | wrapper  | 2016/09/23 07:01:37 |   Current working directory: /home/hybrisUser/hyb6.1/hybris/bin/platform/tomcat/bin
FATAL  | wrapper  | 2016/09/27 05:00:10 | Unable to open configuration file: //tomcat/conf/wrapper.conf (No such file or directory)
FATAL  | wrapper  | 2016/09/27 05:00:10 |   Current working directory: /home/hybrisUser/hyb6.1/hybris/bin/platform/tomcat/bin
FATAL  | wrapper  | 2016/09/27 05:22:42 | Unable to open configuration file: //tomcat/conf/wrapper.conf (No such file or directory)
FATAL  | wrapper  | 2016/09/27 05:22:42 |   Current working directory: /home/hybrisUser/hyb6.1/hybris/bin/platform/tomcat/bin
FATAL  | wrapper  | 2016/09/27 05:23:01 | Unable to open configuration file: //tomcat/conf/wrapper.conf (No such file or directory)
FATAL  | wrapper  | 2016/09/27 05:23:01 |   Current working directory: /home/hybrisUser/hyb6.1/hybris/bin/platform/tomcat/bin
FATAL  | wrapper  | 2016/09/27 05:24:59 | Unable to open configuration file: //tomcat/conf/wrapper.conf (No such file or directory)
FATAL  | wrapper  | 2016/09/27 05:24:59 |   Current working directory: /home/hybrisUser/hyb6.1/hybris/bin/platform/tomcat/bin
FATAL  | wrapper  | 2016/09/27 05:26:25 | Unable to open configuration file: //tomcat/conf/wrapper.conf (No such file or directory)
FATAL  | wrapper  | 2016/09/27 05:26:25 |   Current working directory: /home/hybrisUser/hyb6.1/hybris/bin/platform/tomcat/bin
